feature,importance_gain,importance_split
sales_roll_mean_7,90588548.05838776,208
sales_lag_21,7810327.288551331,196
sales_ewm_alpha_03,4892150.4158325195,152
sales_ewm_alpha_01,4715202.214569092,103
sales_roll_mean_60,2457699.9395446777,219
sales_lag_42,1281103.9210968018,171
promo_roll_mean_14,1255559.6718826294,325
family,1126954.7258300781,807
is_closed,761469.3243103027,346
sales_lag_28,757339.7358093262,193
sales_lag_35,642532.906578064,122
day,477612.8657608032,277
sales_lag_16,315643.90773010254,84
oil_ma30,290397.7925338745,261
month,276925.6535949707,294
onpromotion,244708.20212554932,107
sales_roll_mean_14,165359.63999938965,48
sales_roll_std_7,147776.72956085205,118
sales_roll_mean_30,146470.80030822754,61
oil_ma7,146394.80335235596,109
